0001, 8.88403085757
0002, 8.35599474166
0003, 4.04032134359
0004, 36.1516455089
0005, 13.4109654309
0006, 9.90215899187
0011, 13.9436165545
0012, 7.87493998998
0016, 8.22322715961
0017, 8.90646472948
0019, 7.59164461468
0023, 19.2505718837
0027, 10.8289391396
0066, 16.600403027
0083, 7.07093876754
0101, 6.35851092684
0135, 9.86179486858
0144, 6.53611321536
0151, 19.9320699859
0168, 9.6571839546
0267, 5.27870417611
0291, 12.1442841852
0293, 4.87830503178
0322, 26.9459310932
0358, 10.6143529717
0386, 4.31830108276
0388, 3.02801277258
0390, -97.1784671992
0489, 6.77259746962
0494, 5.78658469918
0688, 6.70301021991
0700, 6.68496567981
0728, 9.48109940609
0753, 4.47703302815
0762, 8.77394141249
0823, 16.0240740763
0836, 7.47917932698
0857, 5.4528332419
0883, 4.96638154897
0902, 14.8645726213
0914, 14.9984805486
0916, 3.64587971854
0939, 2.51248408094
0941, 6.04950989205
0992, 10.4595088745
0998, 2.64640162275
1044, 12.5254905393
1066, 7.16407302017
1088, 12.2712165463
1099, 20.5071476869
1109, 5.90621512729
1211, 229.106778235
1288, 5.97604600519
1299, 20.2000125003
1336, 7.48990203536
1339, 3.00215387074
1359, 5.00458064759
1398, 2.95012902392
1800, 13.4566223512
1880, 7.41947271914
1898, 9.69120033017
1928, 25.3892920893
1988, 6.85517826589
2202, 3.24881510623
2238, 4.50618866575
2318, 7.86176114874
2319, 477.896993696
2328, 3.63031797147
2333, -933.867429726
2338, 6.9847595997
2388, 7.74449115863
2601, 2.6097839876
2628, 4.77200035039
2883, 8.89699831463
3323, 7.68688823951
3328, 2.84474080528
3968, 3.07467448579
3988, 2.34841387239
6030, 3.3970812878
6837, 3.00886494656
